service_id,date,exception_type
BLUS:HAAO001:1:001MFBLUS:O:17,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:18,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:18,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:19,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:20,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:20,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:21,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:22,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:23,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:24,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:25,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:26,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:27,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:28,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:29,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:30,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:31,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:32,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:33,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:34,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:35,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:36,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:37,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:38,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:39,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:40,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:41,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:42,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:43,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:43,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:43,20250618,1
