stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1980SN120839,,"Parkside Avenue",,50.919257512,-1.46132545,,,,,,
1980SN120840,,"Millbrook Roundabout",,50.91784684,-1.457394498,,,,,,
1980SN121026,,"King Georges Avenue",,50.914020536,-1.448747722,,,,,,
1980SN121025,,"Regents Park Road",,50.913566205,-1.443959433,,,,,,
1980HA120481,,"Waterhouse Lane",,50.912799694,-1.4362684,,,,,,
1980HA120482,,"Millbrook Station",,50.911912375,-1.433343566,,,,,,
1980SN120494,,"Christ Church Freemantle",,50.911312959,-1.427575119,,,,,,
1980SN120495,,"Queenstown Road",,50.910909338,-1.424547292,,,,,,
1980SNA09017,,"Wellington Court",,50.910423765,-1.420912048,,,,,,
1900HA080667,,"Priestlands Place",,50.756439212,-1.550475483,,,,,,
1900HA080657,,"Lymington, High Street",,50.757710356,-1.544338785,,,,,,
1980SN120047,,"Lordshill Sainsbury's [LC]",,50.94183231,-1.450269373,,,,,,
1980SN120045,,"Lordshill [LA]",,50.941720432,-1.451338173,,,,,,
1980SN120008,,"Blackbushe Close",,50.943549365,-1.448256424,,,,,,
1980SN120011,,"Kinloss Court",,50.943247597,-1.443406354,,,,,,
1980SN120013,,"Tanners Brook",,50.942639853,-1.436681225,,,,,,
1980SN120014,,"Woburn Road Flyover",,50.943660588,-1.432057183,,,,,,
1980SN120089,,"Aldermoor Shops",,50.940714669,-1.429104172,,,,,,
1980SN120092,,"Lyburn Court",,50.938914623,-1.428784631,,,,,,
1980SN120086,,"Springford Crescent",,50.936926691,-1.430502538,,,,,,
1980SN120083,,"General Hospital, Coxford Road [B]",,50.935061775,-1.433485365,,,,,,
1980SN120102,,"Vine Road [E]",,50.934082788,-1.437453403,,,,,,
1980SN120985,,"Warren Avenue",,50.933789095,-1.439961542,,,,,,
1980SN120989,,"Coxford Close",,50.933206277,-1.444081148,,,,,,
1980SN120188,,"Maybush Corner",,50.929748919,-1.448874971,,,,,,
1980SN120007,,"Crabwood Road",,50.92820062,-1.450444214,,,,,,
1980SN120187,,"Borrowdale Road",,50.927578338,-1.453894903,,,,,,
1980SN120184,,"Ullswater Road",,50.928777615,-1.456527485,,,,,,
1980SN120183,,"Millbrook Towers",,50.930255649,-1.4591712,,,,,,
1980SN120177,,"The Saints",,50.929338337,-1.463052201,,,,,,
1980SN120179,,"Sedburgh Road",,50.926159889,-1.464113213,,,,,,
1980SN120180,,"Millbrook, Kendal Avenue",,50.924395571,-1.463720866,,,,,,
1980SN120334,,"Windrush Road",,50.92190756,-1.45849968,,,,,,
1980SN120338,,"Quantock Road",,50.921169606,-1.454510509,,,,,,
1980SN120346,,"Cotswold Road",,50.921527159,-1.452130436,,,,,,
1980SN120348,,"Mendip Road",,50.922516108,-1.450169698,,,,,,
1980SN120351,,"Millbrook, Oakley Road Tesco",,50.922360695,-1.447724455,,,,,,
1980SN120360,,"King Edward Avenue",,50.92201144,-1.442350756,,,,,,
1980SN120362,,"Clarendon Road",,50.921579773,-1.44046373,,,,,,
1980SN12369B,,"Shirley, Park Street [SE]",,50.922575875,-1.434433664,,,,,,
1980SN120519,,"Southampton Central Station [SA]",,50.908144238,-1.412819069,,,,,,
1980SN120523,,"Art Gallery [HE]",,50.908916576,-1.407276573,,,,,,
1980SN12619E,,"Southampton, Vincents Walk [CK]",,50.903479692,-1.402680946,,,,,,
1980SNA10143,,"Houndwell Park",,50.903017976,-1.402075336,,,,,,
1980SN120980,,"Hoglands Park [CP]",,50.902807828,-1.399674637,,,,,,
1980SNA90830,,"City College",,50.90234618,-1.393864142,,,,,,
1980SNA19721,,"Anglesea Terrace",,50.901153079,-1.390964375,,,,,,
1980SN120652,,"Itchen Bridge (west)",,50.898824552,-1.391065837,,,,,,
1980SN12658B,,"Woolston, Bridge Link Road",,50.898166752,-1.377167417,,,,,,
1980SN120664,,"Fort Road",,50.897548938,-1.372625367,,,,,,
1980SN120710,,"St Anne's Road",,50.896345399,-1.36789229,,,,,,
1980SN120729,,"The Swan",,50.895662344,-1.36299595,,,,,,
1980SN120731,,"Wrights Hill",,50.894193423,-1.359134293,,,,,,
1980SN120735,,"Laxton Close",,50.894721112,-1.355344854,,,,,,
1980SN120739,,"Butts Road Recreation Ground",,50.896035856,-1.352425993,,,,,,
1980SN120695,,"Sholing, Butts Road Tesco",,50.898062147,-1.349724575,,,,,,
1980SN120697,,"Landseer Road",,50.900633216,-1.346361156,,,,,,
1980SN120704,,"Butts Square",,50.902721463,-1.340316343,,,,,,
1980SNA90937,,"Coates Road",,50.90275099,-1.337731924,,,,,,
1980SN120814,,"Parry Road",,50.901187151,-1.339328341,,,,,,
1980SNA90938,,"Sholing, Montague Avenue Shops",,50.900168955,-1.337380319,,,,,,
1980SN120818,,"Montague Close",,50.899979668,-1.335719217,,,,,,
1980SN120821,,"Sullivan Road Park",,50.898185846,-1.333384231,,,,,,
1980SN120823,,"Delius Avenue",,50.897305125,-1.336638869,,,,,,
1980SN120825,,"Valentine Avenue",,50.896106711,-1.340978534,,,,,,
1980SN120806,,"Gainsborough Close",,50.894996378,-1.345018144,,,,,,
1980SN120827,,"Sholing, Portsmouth Road",,50.89422902,-1.349308718,,,,,,
1980SNA09207,,"Aldermoor Turning Circle",,50.939508226,-1.428805826,,,,,,
1980SN120829,,"St Mary's Cemetery",,50.894798058,-1.352997686,,,,,,
1980SN120736,,"Laxton Close",,50.894570996,-1.355844582,,,,,,
1980SN120732,,"Wrights Hill",,50.894232276,-1.35965985,,,,,,
1980SN120730,,"The Swan",,50.895646066,-1.363308992,,,,,,
1980SN120726,,"St Anne's Road",,50.896320116,-1.368205456,,,,,,
1980SNA09185,,"Fort Road",,50.897401005,-1.372507056,,,,,,
1980SN120665,,"St Patrick's Church",,50.897884843,-1.374896016,,,,,,
1980SN120659,,"Woolston, Bridge Link Road",,50.898266193,-1.37726563,,,,,,
1980SNA19739,,"Itchen Bridge (west)",,50.89955497,-1.391454482,,,,,,
1980SNA19722,,"Anglesea Terrace",,50.90120792,-1.391134309,,,,,,
1980SNA90831,,"City College",,50.902157201,-1.39557312,,,,,,
1980SN120899,,"Hoglands Park [CQ]",,50.902837506,-1.400200442,,,,,,
1980SN12441B,,"Art Gallery [HG]",,50.908833122,-1.406779825,,,,,,
1980SN12370B,,"Shirley, Park Street [SC]",,50.922325478,-1.434721242,,,,,,
1980SN120361,,"Clarendon Road",,50.921656269,-1.44141602,,,,,,
1980SN120355,,"King George Avenue / Oakley Road",,50.921786463,-1.444202954,,,,,,
1980SN120350,,"Millbrook, Oakley Road Tesco",,50.922288558,-1.447682627,,,,,,
1980SN120349,,"Mendip Road",,50.922140187,-1.450544031,,,,,,
1980SN120347,,"Cotswold Road",,50.921278385,-1.452773564,,,,,,
1980SN120339,,"Quantock Road",,50.92117677,-1.456046921,,,,,,
1980SN120335,,"Windrush Road",,50.92188243,-1.458898329,,,,,,
1980SN120181,,"Millbrook, Kendal Avenue",,50.924315297,-1.463864066,,,,,,
1980SN120178,,"Sedbergh Road",,50.926834938,-1.464247746,,,,,,
1980SN120175,,"The Saints",,50.930170989,-1.462259994,,,,,,
1980SN120182,,"Millbrook Towers",,50.93012673,-1.458518136,,,,,,
1980SN120185,,"Ullswater Road",,50.928550167,-1.455960972,,,,,,
1980SN120186,,"Borrowdale Road",,50.927695566,-1.453964675,,,,,,
1980SN120006,,"Crabwood Road",,50.928702294,-1.45003989,,,,,,
1980SN120194,,"Maybush Corner",,50.931398798,-1.447873617,,,,,,
1980SN120988,,"Coxford Close",,50.933359977,-1.444520036,,,,,,
1980SN120986,,"Warren Avenue",,50.933904148,-1.439575932,,,,,,
1980SN120979,,"General Hospital, Coxford Road [A]",,50.934840632,-1.434242293,,,,,,
1980SN120085,,"Springford Crescent",,50.936551319,-1.430976761,,,,,,
1980SN120091,,"Lyburn Court",,50.93880832,-1.429113273,,,,,,
1980SN120090,,"Aldermoor Shops",,50.940625098,-1.429176432,,,,,,
1980HAA13388,,"Woburn Road Flyover",,50.943400031,-1.432103057,,,,,,
1980HAA13389,,"Tanners Brook",,50.942274888,-1.437454229,,,,,,
1980SN120010,,"Kinloss Court",,50.943477339,-1.444442667,,,,,,
1980SN120009,,"Blackbushe Close",,50.943476152,-1.447986852,,,,,,
1900HA080203,,"Hounsdown, Spicers Hill",,50.909455193,-1.495126673,,,,,,
1900HA080204,,"Jacobs Walk",,50.906921284,-1.495580741,,,,,,
1900HA080205,,"Valley Road",,50.906127548,-1.490881765,,,,,,
1900HA080206,,"Marchwood Bypass",,50.906121989,-1.48755383,,,,,,
1900HAA92273,,"Bulls Copse Road",,50.901799995,-1.48502997,,,,,,
1900HA080266,,"Pooksgreen, Tavells Lane",,50.89080151,-1.464106527,,,,,,
1900HA080254,,"Woodpecker Drive",,50.89233659,-1.457690812,,,,,,
1900HA080252,,"Bury Road",,50.894852783,-1.453467062,,,,,,
1900HA080257,,"Old Magazine Close",,50.894516284,-1.448835707,,,,,,
1900HA080259,,"The White Horse",,50.891574495,-1.448571837,,,,,,
1900HA080261,,"Marchwood Church",,50.889806345,-1.453113789,,,,,,
1900HA080262,,"Lakeland Gardens",,50.888481337,-1.456299654,,,,,,
1900HA080277,,"Twiggs Lane",,50.886881799,-1.454612301,,,,,,
